,ProfessorName
0,Margaretha Kramer-Hajos
1,Sabrina Joan Billings
2,Prasad Jayanti
3,Hsien-Chih Chang
4,James E. Dobson
5,Ian Baker
6,Miles P. Blencowe
7,Julie L. Rose
8,Devin G. Walker
9,Celia Y. Chen
10,Jason Houle
11,William M. Craig
12,Beatriz Pastor
13,Peter M. Orner
14,Johannes H. van Erp
15,Klaus J. Milich 
16,William A. Fischel
17,Matthew W. Grant
18,Giavanna Munafo 
19,Jeremy Ferwerda
20,Randall Balmer
21,Ayo A. Coly
22,Lewis H. Glinert
23,Rahul Sarpeshkar
24,Dana P. Williams
25,Viktor Lukas Witkowski
26,Carey Davis Nadell
27,Alan Lelchuk 
28,Dennis Charles Washburn
29,David Kraemer
30,Nicola Camerlenghi
31,Rosa C. Orellana
32,Charles J. Wheelan
33,Laura A. Ogden
34,Robert Hill
35,Sujin Eom
36,Marc Caplan
37,Sean Jeremy Westwood
38,Håkan P. Tell
39,Ethan K. Murphy
40,Carmen Bascunan-Sedlacek
41,Laura Edmondson
42,Ezzedine C. Fishere
43,Ernesto Mercado-Montero
44,Katie Hornstein
45,Francesco Ticozzi
46,James Daniel Whitfield
47,Warren M. Lord
48,Mark Alan McPeek
49,Explore Dartmouth
50,George Cybenko
51,Nikhil R. Rao
52,Xiahong Feng
53,James V. Haxby
54,Patrick Dolph
55,Nancy Jay Crumbine
56,David A Lutz
57,Janice M. McCabe
58,Lei Yan
59,Devin J. Balkcom
60,Barrett N. Rogers
61,John D. Muratore 
62,Rachel L. Braude
63,Silvia Spitta
64,Gil Raz
65,Brian Jackson
66,Victoria Somoff
67,Irmela von der Luehe
68,Vievee Elaure Francis
69,Robert A. Maue
70,Soyoung Suh
71,Amro M. Farid
72,George Wolford
73,Emily S. Finn
74,Erik Griffin
75,Jonathan Smolin
76,"Jennifer Brooke Sargent, J.D."
77,Michael E. Zsoldos
78,Roger B. Ulrich
79,Marvin Chochotte
80,Colleen Glenney Boggs
81,Timothy J. Pierson
82,Sebastian Diaz-Duhalde
83,David A. Parr
84,Brian Charles Chaboyer
85,Peter Doyle
86,Robert R. Caldwell
87,Eman Shaban Morsi
88,Justin S. Mankin
89,Kristin E. Smith 
90,Josh Dannin
91,Ian P. Cruise
92,Thomas Ernst
93,Kathryn J. Lively
94,Emily Whiting
95,Sienna R. Craig
96,Kathleen M. Cunneen
97,Joseph J.  Helble
98,Erzo F.P. Luttmer
99,Lorie Loeb
100,Diego Comin
101,Saeed Hassanpour
102,Chad Elias
103,Maurice S. Crandall
104,Daniel B. Howell
105,Reiko Ohnuma
106,Brianna Parry
107,Laura Ray
108,Charles R. Sullivan
109,Julie L. Kalish
110,Andrew L. McCann
111,Jessie Taitt
112,F. Jon Kull
113,Harold Swartz
114,Damiano Benvegnu
115,Laura McPherson
116,Ronald Lasky
117,Peter J. Mucha
118,Elizabeth C. Tremmel
119,Lorenza Viola
120,Eric T. Chyn
121,Eugene Korsunskiy
122,Stuart D. Finkel
123,Angela Patricia Hernandez Anguita
124,Eugene Santos Jr.
125,Anne E. Gelb
126,Richard B. Howarth
127,Matthijs van der Meer
128,Paul P. Musselwhite
129,Michael E. Zegans
130,Faith E. Beasley
131,Aaron L. Dotter
132,Jonathan M. Winter
133,Sean Griffin
134,Kevin J. Peterson
135,Bill Roebuck 
136,Petra Bonfert-Taylor
137,Lawrence D. Kritzman
138,Petra S. McGillen
139,Thomas R. Shemanske
140,Fridon Shubitidze
141,C. Frank Zarnowski
142,Benjamin A. Valentino
143,Claire Burner
144,Ronald Edsforth
145,Ada Cohen
146,Dan J. Kotlowitz
147,Martina Broner
148,Daniel Rockmore
149,Elizabeth A. Carpenter-Song 
150,Natalia X Monetti 
151,Michelle T. Clarke
152,Diego Ramos-Toro
153,Jeffrey Ruoff
154,Isabel Lozano-Renieblas
155,Timothy J. Pulju 
156,Ma. Elena Gonzalez Borgaro
157,Azeen A. Khan
158,Misagh Parsa
159,Esmé Thompson
160,Catherine O. Welder 
161,Jifeng Liu
162,Michelle R. Warren
163,Andrew Gettinger
164,Andrew Levin
165,Marisa C. Palucis
166,William J Hudenko 
167,Scott D. Pauls
168,Michael Joseph Ganio
169,Marcia J. Groszek
170,Kimberley S. Samkoe
171,Robert B. Santulli
172,Kristina Anne Lynch
173,Claudia Olivetti
174,Dorothy I. Wallace
175,Mark Laidre
176,Craig Sutton
177,Donald K. Perovich
178,Minh Q. Phan
179,Holly A. Taylor
180,Matthew D. McGarry
181,Monika C. Otter
182,Iyabo E. Kwayana
183,Austin Chad Hill
184,D.G. Webster
185,Shudong Jiang
186,Arjen Stolk
187,Magdalena Bezanilla
188,Darius Scott
189,Carl E. Renshaw
190,Tricia Treacy
191,Regine Rosenthal 
192,Enrico Riley
193,Sara A. Swenson
194,Jennifer L. Jerit
195,Peter M. Webster
196,Colin R. Meyer
197,Bethany Moreton
198,Lorenzo Torresani
199,Michael C. Herron
200,Timothy Michael Baker
201,Nathan G. Zorzi
202,Leslie Butler
203,Ryan Calsbeek
204,Jason Lyall
205,Julia Rabig
206,Gema M. Mayo-Prada 
207,Pamela Kyle Crossley
208,Mukul Sharma
209,C. Brenhin Keller
210,Emily B. Simpson
211,Ethan Gatewood Lewis
212,Emi Sawada
213,Nicholas R. Sylvain
214,Martin N. Wybourne
215,Sergei A. Kan
216,John S. Jordan
217,A. Kevin Reinhart
218,Susannah Heschel
219,Vladimir Chernov (Tchernov)
220,Ross T. Jones 
221,Sally Pinkas
222,Zi Chen
223,Gregory Sharp
224,Matt Siegle
225,Comfort Azubuko-Udah
226,Mark A. Thornton
227,Sang Wook Nam
228,Jonathan S. Phillips
229,Mara Beth Sabinson
230,Christopher Snyder
231,Ellen E. Kozelka
232,Annelise Orleck
233,Matthew Ritger
234,Barbara Will
235,Jennie D. Chamberlain
236,Erika Monahan
237,Noelia Sol Cirnigliaro
238,Peter J. Robbie
239,Matteo Gilebbi
240,Danielle (Dani) Poole
241,Martin D. Roberts
242,Elizabeth L. Murnane
243,Colleen Lannon
244,Golnar Nikpour
245,Marcela A. Di Blasi
246,Bill Fitzhugh
247,Martin Tassy
248,Timothy Smith
249,Bala Chaudhary
250,Shagufta Mehnaz
251,David Plunkett
252,Regan M. Bernhard
253,Angel Subero
254,Jeremy F. Huckins
255,Jennifer L Caine 
256,N. Bruce Duthu
257,Hannah ter Hofstede
258,Thomas H. Cormen
259,Zenghong Chen 
260,Christie Harner
261,Christopher MacEvitt
262,Israel Reyes
263,Robert W. Staiger
264,Vera B. Palmer 
265,Ryan Halter
266,Shucheng Zhang
267,Lev Grinberg
268,Sohail K. Mirza
269,Tyler S. Monson
270,Sa Whitley
271,Diederick J. Vandewalle
272,John Lyon
273,Madeline McKelway
274,Steven M. Mello
275,Sunglim Kim
276,Loic M. Lerme
277,Peggy Baum
278,Marie-Christine Nizzi
279,El Mostafa Ouajjani 
280,David C. Petruccelli
281,Mary Flanagan
282,Roberto Onofrio 
283,Na'ama Shenhav
284,Ehud Z. Benor
285,Jane E. G. Lipson
286,Neil V. Boyer 
287,Peter Winkler
288,John Voight
289,Brendan Nyhan
290,Klaus Mladek
291,Nicholas James Reo
292,John J. Heginbotham
293,Julie Hruby
294,Lucas G. Pinheiro
295,Theresa Ong
296,Elizabeth U. Cascio
297,Henry C. Clark
298,Charles C. Palmer 
299,Devin Singh
300,Linda L. Fowler
301,Patrick J. Kennelly
302,Tim Tregubov
303,John Troy Scott
304,Jonathan Chipman
305,Mark R. Spaller
306,Daniel Olson
307,Paul Carranza 
308,Mingwei Huang
309,Colin Gordon Calloway
310,Rolando Coto Solano
311,Graziella Parati
312,Aaron Spink
313,John Michael Carey
314,Michael A. Casey
315,Omar C. Guey
316,Maura Doyle
317,Walter L. Cunningham Jr. 
318,Jay G. Hull
319,Elizabeth A. Kassler-Taub
320,David A. Leib 
321,Ekaterina V. Pletneva
322,Levi S. Gibbs
323,John R. Butterly 
324,Chelsey L. Kivland 
325,Nicholas L. Miller
326,Douglas O. Staiger
327,Xing-Dong Yang
328,Mark R. Bernfeld
329,Naaborko Sackeyfio-Lenoch
330,Richard A. Wright
331,Barbara S. Kreiger 
332,Cecilia Gaposchkin
333,Miya Qiong Xie
334,Maron E. Greenleaf 
335,Tarek El-Ariss
336,Samuel Carter
337,James (Jim) Dorsey
338,Andrew J. Friedland
339,Amie L. Thomasson
340,James Feyrer
341,Catherine P. Cramer
342,Michael J. Ragusa
343,Mathieu Morlighem
344,Woon-Ping Chin
345,Preston S. McBride
346,C. Robertson McClung
347,Annabel Martín
348,Marc Dixon
349,Emily K. Kane
350,Jasmina Savic
351,Analola Santana
352,Scott C. Davis
353,Alexis Jetter 
354,Geoffroy Hautier
355,Aparna Parikh
356,Karl W. Doty
357,Lauren E. Culler
358,Misty De Berry
359,Amy Jurewicz
360,John M. Watanabe
361,Brigitte D. Mosenthal 
362,Carl B. Estabrook
363,Samantha C. Wray
364,Maria C. De Greiff
365,Sebastiaan J. C. Joosten
366,Gerd Gemünden
367,Xu Cao
368,Taylor Ho Bynum
369,Edward Meyer
370,Eric R. Fossum
371,Ryan Hickox
372,Ann S. Clark
373,Michael B. Hoppa
374,Rebecca B. Clark
375,Antonio Gómez López-Quiñones 
376,Abigail H. Neely
377,John L. Campbell
378,Robert S. Cantor
379,Katherine A. Crouch
380,David A Rezvani 
381,Richard Beaudoin
382,Chris Bailey-Kellogg
383,Yorke J. Brown 
384,Andrew G. Simon
385,Joshua Brandon Bennett
386,Petr Brůža
387,Jesse Weaver Shipley
388,Nathaniel J. Dominy
389,Samuel Levey
390,Rebecca Elizabeth Biron
391,Walter P. Simons
392,Katherine A. Mirica
393,Mark J. Williams
394,Vaughn A. Booker 
395,Tillman U. Gerngross
396,Matthew F. Delmont
397,Darryl Wilkinson
398,George O'Toole 
399,Louis G. Burkot 
400,Andrew Thomas Campbell
401,Nancy L. Canepa
402,Jennifer M. Miller 
403,Christine J. Thomas
404,Flint Dibble
405,Kimberly B. Rogers
406,Keith D. Paulsen
407,Mary Lou Guerinot
408,Julia Havard
409,Kathleen E. Powers
410,Darrin McMahon
411,Douglas McIlroy
412,Erich Osterberg
413,Christopher S. Sneddon
414,Heidi Denzel 
415,Meir Gregory Kohn
416,John R. Thorstensen
417,Roberto Rey Agudo
418,Brooke Harrington
419,Caitlin E. Hicks Pries
420,John W. Welborn
421,Josh Compton
422,William Cheng
423,Carlos Cortez Minchillo
424,Katherine M. Nautiyal
425,Rodolfo A. Franconi
426,Chenfeng Ke
427,Kathleen M. Rose
428,Jiajing Wang
429,Agnieszka Pasieka
430,Gregory M. Seton
431,Danielle Callegari
432,Steven E. Kangas 
433,Colleen M. Randall
434,Patricia Rachael Stuelke
435,Jessica C. Beckman
436,Melody Brown Burkins
437,"Richard H. Granger, Jr."
438,Melissa R. Herman
439,Mona Domosh
440,Adebayo Oluwayomi
441,David A. Peterson
442,Richard Denton
443,Jorell A. Melendez-Badillo
444,Jason Ennis
445,Travis P. Todd
446,Ingrid Becker
447,Dale F. Mierke
448,Devon Renock
449,Kimberly Rose Clark
450,David S. Glueck
451,Marsha S. Pels
452,Jessica V. Trout-Haney
453,Timothy R Olson
454,Peter Ciardelli
455,Jonathan Skinner
456,Hafiz F. Shabazz 
457,Dean Lacy
458,Alysia Garrison
459,Christopher Sandford
460,Michael Mastanduno
461,Timothy Rosenkoetter
462,Robert M. Baum
463,Keith Coughlin
464,Peter DeShazo
465,Ellis Shookman
466,Shamell Bell
467,Meredith A. Kelly
468,Emilio Cobanera
469,Mia Costa
470,Thomas Ferrara 
471,James William LaBelle
472,Marcelo Gleiser
473,Kenneth E. Sharpe
474,Kevin Wright 
475,Douglas Thomas Bolger
476,Bing He
477,Trica Keaton
478,Deborah Karyn King
479,Alan C. Taylor
480,Patricia A. Hannaway 
481,David Graham Blanchflower
482,Sam Moodie
483,Yan Li
484,Tania Convertini
485,Darlene K. Drummond
486,Wenlin Zhang
487,David Kotz
488,Allen V. Koop 
489,Xia Zhou
490,Annabelle Cone
491,Melissa F. Zeiger
492,Eric Miller
493,Leslie J. Sonder
494,Jason T. Stauth
495,Luke J. Chang
496,Christina Seely
497,Keilah A. Worth
498,Daniel Behar
499,Rena J. Mosteirin
500,Jimmy Wu
501,Rachel L. Greenblatt
502,Liliana Padilla
503,Reuven Goldberg
504,Timmy Ma
505,Ronald Michael Green
506,Lee R. Lynd
507,Philippe Crane
508,Tor Wager
509,Ross A. Virginia
510,Charles Crabtree
511,Kevin T. Greene
512,Bryce E. Walker
513,Brad Duchaine
514,Kui Dong
515,Kathryn L. Cottingham
516,Benoit Cushman-Roisin
517,Paul Novosad
518,Brian E. Messier
519,Chandrasekhar Ramanathan
520,Viola S. Stoermer
521,William J. E. Ratoff
522,Maria Pellegrini
523,Jedidah C. Isler
524,B. Stuart Trembly
525,Jack Wilson 
526,Thomas O'Malley
527,Roger D. Sloboda
528,Karolina Kawiaka 
529,Peter B. Martin
530,Prudence Merton
531,James Bernard Murphy
532,Natasha M. Grotz
533,Kofi M. Odame
534,Dimitrios Giannakis
535,Jeremy R. Manning
536,Olga Zhaxybayeva
537,Nancy Fraser
538,James Mahoney
539,Sachi Schmidt-Hori
540,Patricia Lopez
541,"John ""Jody"" David Trout, Jr."
542,Phyllis D. Deutsch
543,Stefan J. Link
544,Jonathan Zinman
545,Mfoniso Udofia
546,Zaneta M. Thayer
547,Janet E. Polk 
548,Alexander Chee
549,Jodie Mack
550,Kyle S. Smith
551,Susan C. Overton
552,John F. Pfister 
553,Jeffrey A. Friedman
554,Donna Coch
555,Patrick Glauthier
556,Mikhail Gronas
557,John K. Lee 
558,Pamela Voekel
559,Yusaku Horiuchi
560,Mayumi Ishida 
561,Jessica C. Resvick
562,Mauricio S. Soares de Oliveira
563,V.S. Subrahmanian
564,Sonu Bedi
565,Wei-Lih Lee
566,Elizabeth F. Smith
567,Aily Nash
568,Eugene Demidenko 
569,Eric V. Edmonds
570,William Johnson
571,Emily Walton
572,Kimberly Juanita Brown
573,Amy Garapic
574,Sunmin Kim
575,Sean W. Smith
576,Lindsay J. Whaley
577,Jeff Sharlet
578,Ina Petkova
579,Justin V. Strauss
580,Zenovia Toloudi
581,Glenn C. Micalizio
582,Sergi Elizalde
583,Ronald G. Shaiko
584,Sara Muñoz-Muriana
585,J. Edward Wright
586,Jan Halloran
587,Edward J Carroll 
588,Jennifer K. Lynn
589,Sergey Bratus
590,Theodore Levin
591,Alireza Soltani
592,Amit Chakrabarti
593,Peter Ulric Tse
594,Ivy Schweitzer
595,Apoorv Gupta
596,Matthew S. Olzmann
597,Ethan A. Levien
598,Erin E. Collins
599,Evelyn M. Lechner
600,Erma C. Mellinger 
601,Alberto Quattrini Li
602,Jorge Quintana-Navarrete
603,Marjorie B. Rose
604,Carol Dunne
605,Robert A. Fesen
606,Christian Kohn 
607,Yuliya Komska
608,Mark Laser
609,Allie Martin
610,Andre Pagliarini
611,Daryl G. Press
612,John A. Rassias
613,Aden Evens
614,Irene Kacandes
615,John P. Collier
616,Rachel W. Obbard
617,Mark D. Koch
618,Eric W. Zitzewitz
619,Elizabeth J. Wilson
620,Deborah Jordan Brooks
621,Margaret Graver
622,Svetlana (Yana) V. Grushina
623,Rosa M Matorras 
624,Roberta L. Stewart
625,Sharon E. Bickel
626,Laurie Churba Kohn
627,Jacquelyne A. Read
628,Patrick Cavanagh
629,William J. Scheideler
630,Deeparnab Chakrabarty
631,Shevaun Aysa Mizrahi
632,Brenda Garand
633,Douglas A. Irwin
634,William C. Wohlforth
635,Andrea Tarnowski
636,Feng Fu
637,Jeremy Horowitz
638,Donald E. Pease
639,Ann Bumpus
640,Michael McGillen 
641,Robyn M. Millan
642,Karl Griswold
643,Brittny Calsbeek
644,Susan J. Brison
645,Margaret G. Funnell
646,Jeffrey Steven Taube
647,Nina Pavcnik
648,Paul Young
649,Lucas Swaine
650,Dr. Shamell Bell
651,Alan L. Gustman
652,Thalia Wheatley
653,Peter J. Lewis
654,Scott M. Sanders
655,Daniel Lawson
656,Geoffrey G. Parker
657,Alexandra Halasz
658,Monica White Ndounou
659,Christopher Drain
660,Matthew J. Garcia
661,Veronika Fuechtner
662,Paul Christesen
663,Jeremy DeSilva
664,Eric W. Hansen
665,Deanne Harper
666,Ainsley E. Morse
667,Alex Rimberg
668,Kenneth Walden
669,Clara S. Lewis
670,Elisabeth Newton
671,Carolyn Dever
672,Solomon G. Diamond
673,Jennifer M. Lind
674,Thomas Pichler
675,Erqi Cheng
676,Yi-Hsin Liu
677,José M. del Pino
678,Coleen A. Fox
679,Rowland Moseley
680,Yoonsang Lee
681,Lisa Baldez
682,Jesse Casana
683,Jacob M. McNulty
684,Jason Barabas
685,Peter Hackett
686,Paul Meaney
687,Herschel S. Nachlis
688,Katharine P Emlen
689,Robert E. Bonner
690,Mark J. Detzer 
691,Edward Miller
692,Andrea Kremer
693,Caroline Robertson
694,John Kulvicki
695,Michael A. Chaney
696,Mary R. Desjardins
697,yasser elhariry / ياسر الحريري
698,Bruce I. Sacerdote
699,Sarah P. Slotznick
700,James N. Stanford
701,Wen Xing 邢文
702,Nirvana Tanoukhi
703,Aleksandr Ukhorskiy
704,Irasema Saucedo
705,Allen Hockley
706,Wojciech Jarosz
707,Sarah B. Smith
708,Ellen B. Rockmore
709,Esther M. Rosario
710,Udi Greenberg
711,Whitney Barlow Robles
712,Stephen Taylor
713,Kathleen Wine
714,Paul Robustelli
715,Ikuko W. Watanabe Washburn
716,Dean E. Wilcox
717,Harold J. Frost
718,Gregory M. Hayes 
719,Desirée J. Garcia
720,Marcia L Cassidy 
721,Patricia McKee
722,Erland M. Schulson
723,Adina L. Roskies
724,Mary K. Coffey
725,Steven F. Venti
726,Yaroslav O. Halchenko
727,Robert St. Clair
728,Annika M. Konrad
729,Temiloluwa O. Prioleau
730,Geoffrey P. Luke
731,Deborah L. Nichols
732,Sarah Masud Preum
733,Vicki May
734,Jason Merwin
735,Thomas H. Luxon
736,Eugenie Carabatsos
737,Renee Bergland 
738,Anna Minardi 
739,Xun Shi
740,Douglas J. Moody
741,Kelly F McConnell 
742,Brian W. Pogue
743,Russell Muirhead
744,Steve Swayne
745,Shawn S. Winter
746,Joseph Dexter
747,James Binkoski
748,David LaGuardia
749,Deborah Louise Forger
750,Hans Mueller
751,Alfia Rakova 
752,Soroush Vosoughi
753,William D. Leavitt
754,Melinda Petre
755,David Lea Webb
756,Gevorg Grigoryan
757,Lucas Hollister
758,Christopher G. Levey
759,Douglas W. Van Citters
760,Min Young Godley
761,Eng-Beng Lim
762,Cori Tucker-Price
763,Douglas E. Haynes
764,Soo Sunny Park
765,Christina Gómez 
766,Jacqueline D. Wernimont
767,Rebecca A. Johnson
768,William F. Phillips 
769,James E. Wright 
770,Hazel V. Carby
771,Alan Aimin Li 
772,Amanda L. Socha
773,Meghan L. Meyer
774,Nicolay Ostrau
775,Lynn Ellen Patyk
776,Tiane Donahue
777,Robert L. Hawley
778,Lee Alan Witters
779,Elsa Voytas
780,Jamila Chahboun 
781,Jiwon Lee
782,Joanna Rapf
783,Kristin O'Rourke 
784,Meredith Startz
785,Bo Zhu
786,Susanne Freidberg
787,John Dunlop
788,Yarran D. Hominh
789,Steven J. Ericson
790,Stephen G. Brooks
791,Virginia C. Beahan 
792,Leslie A. Woodger
793,Cynthia P. Monroe
794,Andrew A. Samwick
795,Melanie B. Taylor
796,Jorge E. Cuéllar
797,Ash Fure
798,Adedoyin S. Ogunfeyimi
799,Weiyang (Fiona) Li
800,Jamie Horton
801,Michele Tine
802,Nick Van Kley
803,Sara B. Chaney
804,Vasanta Lakshmi Kommineni
805,Nurit Ben-Yehuda 
806,Michael Cox
807,Elisabeth Curtis
808,George Edmondson
809,Hussein N. Kadhim
810,Najwa Mayer
811,Sandra S. Mefoude Obiono
812,G. Eric Schaller
813,Thomas P. Jack
814,James Goodwin Rice 
815,Francis J. Magilligan
